lineID	SPEAKER	ENGLISH
			
6229	objAngel	{angel}Oh|| bon sang...	
6230	objAngel	Tu es| {shake}{anim sprAngel_happy}SI|| MIGNON!!!{/shake}	
6231	objAngel	Je suis désolée de t'avoir effrayé	
6232	objAngel	C'était censé vérifier si tu étais un héros
6233	objAngel	Ce que |tu n'es pas
6234	objBard	{}Juste un barde!	
6235	objBard	Qui êtes vous?	
6236	objAngel	{angel}La messagère de la déesse Eya
6237	objAngel	Il y a bien longtemps,| son chant a mené à la création de ton Univers
6238	objAngel	Et elle va très bientôt de nouveau chanter
6239	objAngel	Ce qui,|| euh	
6240	objAngel	Va remplacer cet Univers par un nouveau
6241	objAngel	Mais va pas commencer à t'affoler	
6242	objAngel	Ton Univers est plutôt vieux
6244	objAngel	Elle aime recommencer à zéro au bout d'un moment,|| tu vois?	
6246	objAngel	...|Meeee|e|e|e|c...	
6247	objAngel	Ça craint en fait
6248	objAngel	Je t'apprécie vraiment beaucoup	
6249	objAngel	Désolée que ta planète soit condamnée
			
7821	objMask	Hey salut, voyageur	
7822	objMask	T'as fait de beaux rêves?	
7823	objBard	|Je...| m'en souviens pas!	
7825	objMask	Ça s'oublie facilement,| pas vrai...	
7826	objMask	Bah,| t'en fais pas.	
7827	objMask	C'est une belle journée...	
7829	objMask	Les oiseaux chantent...	
7830	objMask	Et toi alors?	
7839	objMask	Tu vas aller voir les fantômes?	
7840	objBard	...Fantômes?	
7841	objMask	Une foule d'esprit a envahi la ville	
7842	objMask	Tout le monde est en train de flipper...|| C'est plutôt drôle	
7843	objMask	Bref,| à plus tard	
7844	objMask	Voyageur,| si ton esprit est ouvert...	
7845	objMask	Je peux t'enseigner un pouvoir secret	
7846	objMask_meet	Appelé ||LA DANSE.	
7847	objBard	Non merc|i!	
7848	objBard	A|pprends|-moi!	
7849	objMask	Je comprends.	
7850	objMask	C'est un grand plongeon à faire.	
7851	objMask	Tu dois sauter que lorsque tu te sens prêt.	
7852	objMask	Hmmm...	
7853	objMask	Je ne sais pas comment dire ça...	
7854	objMask	Mais| on dirait...	
7855	objMask	Que tu as|| bloqué ton chemin vers la |DANSE.	
7856	objMask	Dans ton esprit,| il y a un endroit spécial...	
7857	objMask	Appelé le "Menu des Contrôles"	
7858	objMask	Je pense que tu devrais visiter ce lieu.	
7859	objMask	Très bien.	
7860	objMask	J'aimerais que tu fermes les yeux,	
7861	objMask	Et que tu imagines quelque chose appelé une...	
7862	objMask	Manette sans fil DUALSHOCK^4 	
7863	objMask	Et que tu imagines quelque chose appelé || une "{data_controllername}"	
7864	objMask	...Tu la vois?	
7865	objMask	En utilisant ça,	
7866	objMask	Tu dois appuyer sur quelque chose appelé {data_dancebutton}" pour |DANSER.	
7867	objMask	Sur cette "{data_controllername}"...	
7868	objMask	Tu dois maintenir quelque chose appelé le "bouton {data_dancebutton}" pour |DANSER.	
7869	objMask	Appuie sur ce bouton,| voyageur.	
7870	objMask	J'aimerais que tu fermes les yeux,	
7871	objMask	Et que tu imagines quelque chose appelé|| un "Clavier"	
7872	objMask	...Tu le vois?	
7873	objMask	Sur ce "Clavier"...	
7874	objMask	Tu dois maintenir quelque chose appelé la "touche {data_dancebutton}" pour |DANSER.	
7875	objMask	Maintient cette touche,| voyageur.	
7876	objMask	Et ressens la danse te traverser...	
7877	objMask	N'importe quand,| n'importe où.	
7878	objMask	Avec tous ces fantômes dans les parages...	
7879	objMask	Je ressens vraiment ce genre |d'ambiance flippante.	
7880	objMask	Je pense que je vais aller traîner au cimetière.	
7881	objMask	|Si tu me retrouves là-bas...	
7882	objMask	Alors...	
7883	objMask	Quelque chose de spécial se produira.	
			
7901	objMask	Eh bien salut, voyageur...	
7902	objMask	Tu connais cet endroit?	
7903	objMask	On appelle ce lieu l'Arbre du Sommeil.	
7904	objMask	Un petit coin plutôt magique...	
7905	objMask	Rien que de me retrouver là| m|e|| |f|a|i|t|||...	
7906	objMask	{wiggle}{shake}{speed .2}baille{/shake}	
7907	objMask	{wiggle}{shake}{speed .2}baille{/shake}	
			
7522	objMask	Hey salut,| voyageur.	
7523	objMask	J'adore les bonbons...	
7524	objMask	Mais je suis venu à cause de la super musique jouée ici...	
7525	objMask	C'est toi qui l'a composé,| pas vrai?	
7526	objMask	C'est le cimetière...|| flippant,| hein?	
7527	objMask	J'adore me plonger dans ce genre d'ambiance flippante...	
7528	objMask	...	
7529	objMask	Bravo pour m'avoir trouvé ici...	
7530	objMask	J'ai quelque chose à te montrer.	
7531	objMask	Je sais| que tu sais| tout en matière musique.	
7532	objMask	Mais qu'est-ce que tu sais...	
7533	objMask	En matière...||de {shake}DANSE?{/shake}	
7534	objMask	Je veux t'apprendre quelques pas.	
7535	objMask	Attends,| non...	
7536	objMask	Je veux débloquer ces connaissances|| qui résident déjà en toi...	
7537	objMask	Car tu as un esprit dansant,| voyageur.	
7538	objMask	Je vais juste t'aider à le trouver.	
7539	objMask	Je t'attendais...	
7540	objMask	Pour t'accompagner...|| au prochain niveau de |DANSE.	
7541	objMask	C'est ça...	
7542	objMask	Il est temps| de découvrir une nouvelle |DANSE.	
7543	objMask	Tu la connais déjà,| voyageur.	
7544	objMask	Je vais juste t'aider à la trouver.	
7545	objMask	Je sens quelque chose...	
7546	objMask	Qui sommeille en toi...|| juste sous la surface.	
7547	objMask	C'est une autre |DANSE,| voyageur.	
7548	objMask	Je pense qu'il est temps de l'éveiller.	
7549	objMask	Est-ce que tu le ressens?	
7550	objMask	Cet endroit...|| il dégage une vraie atmosphère.	
7551	objMask	Il essaie de nous dire quelque chose...	
7552	objMask	Il nous dit...|| qu'il est l'heure de |DANSER.	
7553	objMask	Relax,| voyageur. |Laisse place à la danse.	
7554	objMask	Nous avons parcouru un sacré chemin vers la DANSE tous les deux.	
7555	objMask	Et plus nous sommes allés loin...	
7556	objMask	Plus nous avons appris sur nous,| également.	
7557	objMask	Car la |DANSE| vient du plus profond de nous-mêmes...	
7558	objMask	Et quand on la laisse surgir,| on laisse aussi surgir notre nous profond.	
7559	objMask	Alors qu'est-ce que t'en dis,| voyageur?	
7560	objMask	Laissons en surgir une nouvelle.	
7561	objMask	Je suis là...	
7562	objMask	À ressentir toute la DANSE autour de moi...	
7563	objMask	La canaliser...	
7564	objMask	Et la laisser éveiller la DANSE qui sommeille en moi.	
7565	objMask	Je sais que tu le ressens aussi,| voyageur.	
7566	objMask	Le pouvoir| de la DANSE.	
7567	objMask	Puisons au fond de nous même,	
7568	objMask	Et voyons quel trouvaille tu feras...	
7569	objMask	Je le ressens.	
7570	objMask	Ton âme...	
7571	objMask	Ton pouvoir de la |DANSE...	
7572	objMask	Il n'a cessé de grandir,| voyageur.	
7573	objMask	Tu as parcouru un long chemin,| et tu as trouvé les danses qui sommeillaient en toi.	
7574	objMask	Je suis fier de t'avoir guidé durant ce voyage.	
7575	objMask	Maintenant,| une dernière fois.	
7576	objMask	Traçons ce chemin.	
7577	objMask	Jusqu'au bout.	
7578	objMask	Pour une	
7579	objMask	{shake}DERNIÈRE{/shake}	
7580	objMask	danse	
			
7581	objMask	Jolie danse,| voyageur.	
7582	objMask	...	
7583	objMask	T'en as fait du chemin...	
7584	objMask	Durant ce voyage vers la |DANSE.	
7585	objMask	Je n'ai plus rien à te montrer.	
7586	objMask	À partir de maintenant,| tu dois continuer à tracer ton propre chemin.	
7587	objMask	Mais ne t'arrêtes pas en route,| voyageur.	
7588	objMask	N'oublie pas|| la DANSE.	
7589	objMask	Sur le chemin que tu traceras...	
7590	objMask	Les trouvailles seront vraiment spéciales.	
7591	objMask	Mais ce n'est que le début...	
7592	objMask	De ton voyage| dans la DANSE.	
